Timestamp         Segment            Send            Recv           Phase            cwnd        ssthresh                canSend = 75
---------------------------------------------------------------------------------------------------------

0.000               1            Send               -      SLOW START              75           65535                canSend = 0
0.400              76               -             ACK      SLOW START             150           65535                canSend = 150
0.400              76            Send               -      SLOW START             150           65535                canSend = 75
0.400             151            Send               -      SLOW START             150           65535                canSend = 0
0.810             151               -             ACK      SLOW START             225           65535                canSend = 150
0.810             226            Send               -      SLOW START             225           65535                canSend = 75
0.810             301            Send               -      SLOW START             225           65535                canSend = 0
0.910             226               -             ACK      SLOW START             300           65535                canSend = 150
message dropped.
0.920             376            Send               -      SLOW START             300           65535                canSend = 75
0.920             451            Send               -      SLOW START             300           65535                canSend = 0
0.122             301               -             ACK      SLOW START             375           65535                canSend = 150
message dropped.
0.122             526            Send               -      SLOW START             375           65535                canSend = 75
0.122             601            Send               -      SLOW START             375           65535                canSend = 0
0.142             376               -             ACK      SLOW START             450           65535                canSend = 150
0.142             676            Send               -      SLOW START             450           65535                canSend = 75
message dropped.
0.142             751            Send               -      SLOW START             450           65535                canSend = 0
0.183             376               -             ACK      SLOW START             450           65535                canSend = 0
0.534             376            Send               -      SLOW START              75             225                canSend = 0
0.574             526               -             ACK      SLOW START             150             225                canSend = 0
0.925             526            Send               -      SLOW START              75             150                canSend = 0
1.276             526            Send               -      SLOW START              75             150                canSend = 0
1.317             751               -             ACK      SLOW START             150             150                canSend = 75
1.317             826            Send               -      SLOW START             150             150                canSend = 0
1.357             751               -             ACK      SLOW START             150             150                canSend = 0
1.708             751            Send               -      SLOW START              75             150                canSend = 0
1.748             901               -             ACK      SLOW START             150             150                canSend = 150
1.748             901            Send               -      SLOW START             150             150                canSend = 75
1.748             976            Send               -      SLOW START             150             150                canSend = 0
1.789             976               -             ACK     CONG. AVOID             225             150                canSend = 150
1.789            1051            Send               -     CONG. AVOID             225             150                canSend = 75
1.789            1126            Send               -     CONG. AVOID             225             150                canSend = 0
1.799            1051               -             ACK     CONG. AVOID             250             150                canSend = 100
1.799            1201            Send               -     CONG. AVOID             250             150                canSend = 25
1.830            1126               -             ACK     CONG. AVOID             272             150                canSend = 122
1.830            1276            Send               -     CONG. AVOID             272             150                canSend = 47
1.840            1201               -             ACK     CONG. AVOID             292             150                canSend = 142
1.840            1351            Send               -     CONG. AVOID             292             150                canSend = 67
1.851            1276               -             ACK     CONG. AVOID             311             150                canSend = 161
1.851            1426            Send               -     CONG. AVOID             311             150                canSend = 86
1.851            1501            Send               -     CONG. AVOID             311             150                canSend = 11
1.871            1351               -             ACK     CONG. AVOID             329             150                canSend = 104
1.871            1576            Send               -     CONG. AVOID             329             150                canSend = 29
1.881            1426               -             ACK     CONG. AVOID             346             150                canSend = 121
1.881            1651            Send               -     CONG. AVOID             346             150                canSend = 46
1.892            1501               -             ACK     CONG. AVOID             362             150                canSend = 137
1.892            1726            Send               -     CONG. AVOID             362             150                canSend = 62
1.902            1576               -             ACK     CONG. AVOID             377             150                canSend = 152
1.902            1801            Send               -     CONG. AVOID             377             150                canSend = 77
1.902            1876            Send               -     CONG. AVOID             377             150                canSend = 2
1.912            1651               -             ACK     CONG. AVOID             391             150                canSend = 91
